Provincia,Niveles,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual,year
Gipuzkoa,Extremo,0,0,0,0,0,0,"12,9","22,58",20,0,0,0,"4,64",2020
Huelva,Bajo,"87,1","58,62","48,39",100,"38,71","23,33","3,23","6,45","46,67","70,97",100,100,"56,83",2020
Huelva,Moderado,"12,9","41,38","45,16",0,"58,06","46,67","12,9","12,9","16,67","19,35",0,0,"22,13",2020
Huelva,Alto,0,0,"6,45",0,"3,23",20,"41,94","35,48","13,33","6,45",0,0,"10,66",2020
Huelva,Muy_Alto,0,0,0,0,0,10,"35,48","19,35","13,33",0,0,0,"6,56",2020
Huelva,Extremo,0,0,0,0,0,0,"6,45","25,81",10,"3,23",0,0,"3,83",2020
Huesca,Bajo,"61,29","13,79","61,29","93,33","38,71","56,67","22,58","3,23",20,"74,19","76,67",100,"51,91",2020
Huesca,Moderado,"38,71","79,31","35,48","6,67","41,94",40,"16,13","9,68","16,67","19,35","23,33",0,"27,05",2020
Huesca,Alto,0,"6,9","3,23",0,"19,35","3,33","22,58","22,58","13,33","6,45",0,0,"8,2",2020
Huesca,Muy_Alto,0,0,0,0,0,0,"19,35","19,35","43,33",0,0,0,"6,83",2020
Huesca,Extremo,0,0,0,0,0,0,"19,35","45,16","6,67",0,0,0,"6,01",2020
Jaen,Bajo,"87,1","68,97","54,84",100,"35,48","23,33","3,23","3,23",30,"83,87",100,100,"57,38",2020
Jaen,Moderado,"12,9","31,03","45,16",0,"58,06",50,"6,45","12,9","36,67","9,68",0,0,"21,86",2020
Jaen,Alto,0,0,0,0,"6,45","23,33","35,48","35,48","23,33","3,23",0,0,"10,66",2020
Jaen,Muy_Alto,0,0,0,0,0,"3,33","41,94","35,48",10,"3,23",0,0,"7,92",2020
Jaen,Extremo,0,0,0,0,0,0,"12,9","12,9",0,0,0,0,"2,19",2020
Leon,Bajo,"51,61","37,93","19,35",80,"41,94","56,67","3,23","35,48","53,33","96,77",100,100,"56,28",2020
Leon,Moderado,"48,39","58,62","70,97",20,"25,81","36,67","16,13","9,68","6,67","3,23",0,0,"24,59",2020
Leon,Alto,0,"3,45","9,68",0,"32,26","6,67","32,26","19,35","23,33",0,0,0,"10,66",2020
Leon,Muy_Alto,0,0,0,0,0,0,"35,48","19,35","16,67",0,0,0,"6,01",2020
Leon,Extremo,0,0,0,0,0,0,"12,9","16,13",0,0,0,0,"2,46",2020
Lleida,Bajo,"48,39","10,34","51,61",70,"41,94","66,67","22,58","9,68","26,67","70,97","73,33",100,"49,45",2020
Lleida,Moderado,"51,61","79,31","45,16",30,"25,81",30,"22,58","3,23","36,67","25,81","26,67",0,"31,15",2020
Lleida,Alto,0,"10,34","3,23",0,"32,26","3,33","29,03","12,9","33,33","3,23",0,0,"10,66",2020
Lleida,Muy_Alto,0,0,0,0,0,0,"16,13","12,9","3,33",0,0,0,"2,73",2020
Lleida,Extremo,0,0,0,0,0,0,"9,68","61,29",0,0,0,0,"6,01",2020
La Rioja,Bajo,"54,84","17,24","58,06","86,67","29,03","73,33","12,9","9,68","36,67","93,55",90,100,"55,19",2020
La Rioja,Moderado,"45,16","55,17","38,71","13,33","41,94","16,67","3,23","12,9","6,67","6,45",10,0,"20,77",2020
La Rioja,Alto,0,"27,59",0,0,"29,03",10,"32,26","9,68","3,33",0,0,0,"9,29",2020
La Rioja,Muy_Alto,0,0,"3,23",0,0,0,"38,71","16,13","26,67",0,0,0,"7,1",2020
La Rioja,Extremo,0,0,0,0,0,0,"12,9","51,61","26,67",0,0,0,"7,65",2020
Lugo,Bajo,"48,39","31,03","45,16","73,33","22,58","36,67",0,"38,71","46,67","96,77","93,33",100,"52,73",2020
Lugo,Moderado,"48,39","62,07","41,94","23,33","29,03","56,67","9,68","22,58",10,0,"6,67",0,"25,68",2020
Lugo,Alto,"3,23","6,9","12,9","3,33","35,48","6,67","22,58","3,23","13,33","3,23",0,0,"9,29",2020
Lugo,Muy_Alto,0,0,0,0,"12,9",0,"54,84","25,81","26,67",0,0,0,"10,11",2020
Lugo,Extremo,0,0,0,0,0,0,"12,9","9,68","3,33",0,0,0,"2,19",2020
Madrid,Bajo,"74,19","62,07","54,84",90,"25,81","26,67",0,"16,13","53,33",100,100,100,"58,47",2020
Madrid,Moderado,"25,81","37,93","45,16",10,"61,29","56,67","19,35","22,58","23,33",0,0,0,"25,14",2020
Madrid,Alto,0,0,0,0,"12,9","16,67","22,58","6,45","16,67",0,0,0,"6,28",2020
Madrid,Muy_Alto,0,0,0,0,0,0,"45,16","41,94","6,67",0,0,0,"7,92",2020
Madrid,Extremo,0,0,0,0,0,0,"12,9","12,9",0,0,0,0,"2,19",2020
Malaga,Bajo,"87,1","31,03","45,16",100,"35,48","23,33",0,"3,23",30,"70,97",100,100,"52,19",2020
Malaga,Moderado,"12,9","68,97","45,16",0,"54,84",40,"12,9","9,68","26,67","6,45",0,0,"22,95",2020
Malaga,Alto,0,0,"9,68",0,"9,68","26,67","45,16","22,58","23,33","16,13",0,0,"12,84",2020
Malaga,Muy_Alto,0,0,0,0,0,10,"38,71","48,39","13,33","6,45",0,0,"9,84",2020
Malaga,Extremo,0,0,0,0,0,0,"3,23","16,13","6,67",0,0,0,"2,19",2020
Murcia,Bajo,"77,42","72,41","51,61",100,"35,48","26,67",0,0,40,"58,06","96,67","96,77","54,37",2020
Murcia,Moderado,"22,58","20,69","29,03",0,"58,06",50,"19,35","16,13","33,33","32,26","3,33","3,23","24,04",2020
Murcia,Alto,0,"6,9","16,13",0,"6,45","23,33","35,48","29,03",10,"6,45",0,0,"11,2",2020
Murcia,Muy_Alto,0,0,"3,23",0,0,0,"45,16","38,71","13,33",0,0,0,"8,47",2020
Murcia,Extremo,0,0,0,0,0,0,0,"16,13","3,33","3,23",0,0,"1,91",2020
Navarra,Bajo,"74,19","24,14","64,52","73,33","29,03","63,33","3,23","3,23","36,67","96,77","86,67",100,"54,64",2020
Navarra,Moderado,"25,81","68,97","32,26","23,33","29,03",20,"9,68","6,45","6,67","3,23","13,33",0,"19,67",2020
Navarra,Alto,0,"6,9","3,23","3,33","41,94","16,67","45,16","16,13","3,33",0,0,0,"11,48",2020
Navarra,Muy_Alto,0,0,0,0,0,0,"25,81","41,94","23,33",0,0,0,"7,65",2020
Navarra,Extremo,0,0,0,0,0,0,"16,13","32,26",30,0,0,0,"6,56",2020
Ourense,Bajo,"61,29","41,38","41,94","83,33","25,81","33,33",0,"25,81","43,33","96,77",100,100,"54,37",2020
Ourense,Moderado,"38,71","55,17","54,84","13,33","38,71","53,33","3,23","16,13","3,33","3,23",0,0,"23,22",2020
Ourense,Alto,0,"3,45","3,23","3,33","35,48","13,33","22,58","22,58","6,67",0,0,0,"9,29",2020
Ourense,Muy_Alto,0,0,0,0,0,0,"51,61","16,13","33,33",0,0,0,"8,47",2020
Ourense,Extremo,0,0,0,0,0,0,"22,58","19,35","13,33",0,0,0,"4,64",2020
Asturias,Bajo,"41,94","13,79","32,26",60,"22,58","56,67","6,45","45,16","46,67","90,32","73,33","96,77","48,91",2020
Asturias,Moderado,"35,48","51,72","45,16","36,67","25,81",30,"32,26","12,9","23,33","6,45",20,"3,23","26,78",2020
